"Gene.symbol"	"logFC"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"B"
"SAMD9"	3.37327428479264	5.91362602253345	25.5010810330524	4.71374907300761e-14	1.19877372853831e-11	22.6049442146756
"TRIM22"	3.31336784648381	6.6731237227866	34.4645379830038	4.83575696051785e-16	3.1883757559681e-13	27.1820431727841
"IL1B"	3.31165053649201	2.2450254430394	11.6812818026461	4.46509058419814e-09	1.29669726884005e-07	11.2366265636717
"IFIH1"	3.29059319084893	6.36504503364364	30.4939613971649	3.12621388293044e-15	1.42699639856225e-12	25.323185419101
"SLC2A6"	3.22575465685064	5.00949683649988	43.4049427681904	1.41574294142125e-17	1.93869660332162e-14	30.2540673055112
"IFI35"	3.21959868928267	5.87120035884306	40.5440743464488	4.02727277359475e-17	4.21726528914904e-14	29.5292216503867
"TMEM229B"	3.18813584502035	2.34129931183844	16.8729331069719	2.25588329875119e-11	1.81396337417757e-09	16.3512753571257
"IFITM2"	3.18549535043435	4.28816534142612	17.0079665207005	2.00621823606871e-11	1.66083771541084e-09	16.562882597167
"PARP9"	3.18467806571666	6.82471356381965	37.6523425430905	1.25058417132182e-16	1.06013806751767e-13	28.5192824722784
"TBC1D3B"	3.18063613517733	3.48558054938454	11.0524031138808	9.6357878038318e-09	2.50784056262886e-07	10.3613409775795
"PDE4B"	3.17298426326731	1.75855090697206	13.7375823574215	4.48433268403623e-10	2.03648189901053e-08	13.4336508811785
"BIRC3"	3.1287236410261	3.8904057956551	26.0414094061024	3.43251438742705e-14	8.98612075367299e-12	22.7955715455386
"HERC6"	3.11220999650388	4.58305941464616	27.6623321594686	1.37476803813951e-14	4.53215196573326e-12	23.7897478287113
"HCAR3"	3.10663454992132	1.76354734449553	11.8706624821504	3.56508914574122e-09	1.09612637258178e-07	11.4461841271805
"TRIM5"	3.10210188140056	7.06389225741053	33.5273365720098	7.36656041731052e-16	4.52205201892972e-13	26.7659433054223
"JAK3"	3.10157540871299	2.07020702184972	19.8149980258053	2.08604227010899e-12	2.65255174946287e-10	18.4477745316002
"BAALC-AS2"	3.083069271096	3.31333827110615	17.6169659074341	1.194277372245e-11	1.0792145066348e-09	17.0933423000235
